time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2007-09-28T13:38:57.880Z,22.013,142.668,260,7.5,mwc,558,11.8,,0.97,us,usp000fpca,2015-02-12T22:43:46.459Z,"Volcano Islands, Japan region",earthquake
2007-09-29T05:32:42.010Z,2.915,95.533,20,5.7,mwc,280,27.1,,0.91,us,usp000fpdp,2015-02-12T20:53:00.747Z,"Simeulue, Indonesia",earthquake
2007-09-29T05:37:07.260Z,2.9,95.523,35,6,mwc,214,33,,1,us,usp000fpdq,2015-02-12T23:40:10.290Z,"Simeulue, Indonesia",earthquake
2007-09-29T06:42:34.580Z,5.977,127.474,24.8,5.5,mwc,192,34.6,,0.87,us,usp000fpdt,2015-02-11T17:18:41.000Z,"Philippine Islands region",earthquake
2007-09-29T15:36:44.540Z,-21.158,169.243,10,5.7,mwb,196,85.8,,1.27,us,usp000fpeu,2015-02-12T20:28:15.951Z,"southeast of the Loyalty Islands",earthquake
2007-09-29T17:24:58.620Z,-21.096,169.269,10,5.6,mwc,125,67.1,,1.31,us,usp000fpf5,2015-02-12T21:35:52.376Z,"southeast of the Loyalty Islands",earthquake
2007-09-30T02:08:30.170Z,10.454,145.718,14,6.9,mwb,535,15.2,,1.13,us,usp000fpg6,2015-02-12T23:24:29.605Z,"south of the Mariana Islands",earthquake
2007-09-30T05:23:34.070Z,-49.271,164.115,10,7.4,mwc,499,16.6,,1.19,us,usp000fpgq,2015-02-12T23:49:26.873Z,"Auckland Islands, New Zealand region",earthquake
2007-09-30T09:47:51.970Z,-49.138,164.11,18,6.6,mwc,572,21.9,,1.28,us,usp000fphp,2015-02-12T20:57:35.133Z,"Auckland Islands, New Zealand region",earthquake
2007-09-30T15:02:18.280Z,10.516,145.585,24.2,5.5,mwc,295,24.4,,0.87,us,usp000fpja,2015-02-11T17:18:41.000Z,"south of the Mariana Islands",earthquake
2007-10-01T13:50:24.740Z,-3.158,148.223,10,5.9,mwc,80,57.6,,1.18,us,usp000fpn0,2015-02-12T20:40:44.559Z,"Bismarck Sea",earthquake
2007-10-02T03:43:38.910Z,-4.24,101.212,22,5.9,mwc,288,30.2,,1.01,us,usp000fppe,2015-02-12T20:54:00.144Z,"southern Sumatra, Indonesia",earthquake
2007-10-02T18:00:06.870Z,54.511,-161.708,32,6.3,mwc,583,39.4,,1.02,us,usp000fpqs,2015-02-12T21:31:34.095Z,"Alaska Peninsula",earthquake
2007-10-02T18:03:54.970Z,54.417,-161.703,47.3,5.6,mb,176,139.2,,0.73,us,usp000fpqt,2015-02-12T20:56:32.418Z,"Alaska Peninsula",earthquake
2007-10-04T12:40:31.130Z,2.543,92.903,35,6.2,mwb,389,31.9,,0.85,us,usp000fpv9,2015-02-12T22:14:00.382Z,"off the west coast of northern Sumatra",earthquake
2007-10-04T14:28:35.690Z,-8.285,116.811,10,5.7,mwb,112,39.3,,1.19,us,usp000fpve,2015-02-12T22:45:05.405Z,"Lombok region, Indonesia",earthquake
2007-10-05T07:17:52.810Z,-25.189,179.459,509.4,6.5,mwc,573,19.2,,1.05,us,usp000fpxf,2015-02-12T23:34:18.711Z,"south of the Fiji Islands",earthquake
2007-10-06T12:38:49.170Z,18.73,147.148,20,6.1,mwc,344,17.6,,0.9,us,usp000fq0b,2015-02-12T20:42:21.910Z,"Mariana Islands region",earthquake
2007-10-08T17:10:35.430Z,43.553,146.748,41,5.8,mwb,574,23.6,,0.86,us,usp000fq4v,2015-02-12T21:52:19.318Z,"Kuril Islands",earthquake
2007-10-08T18:37:53.700Z,-20.706,-177.398,337.5,5.7,mwb,439,21.5,,1.03,us,usp000fq4z,2015-02-12T22:42:25.597Z,"Fiji region",earthquake
2007-10-09T15:03:41.210Z,-4.808,152.892,39,6,mwb,356,16.6,,0.99,us,usp000fq6r,2015-02-12T20:27:43.916Z,"New Britain region, Papua New Guinea",earthquake
2007-10-10T00:19:16.790Z,-1.735,99.48,27.3,5.9,mwb,270,29.8,,0.91,us,usp000fq7f,2015-02-12T23:42:23.892Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-11T16:25:05.850Z,-49.052,164.31,10,5.6,mwb,117,50.8,,1.17,us,usp000fqb5,2015-02-11T17:18:42.000Z,"Auckland Islands, New Zealand region",earthquake
2007-10-12T00:31:29.100Z,-3.285,100.509,15,5.7,mwc,280,27.6,,0.86,us,usp000fqbq,2015-02-12T21:54:24.291Z,"Kepulauan Mentawai region, Indonesia",earthquake
2007-10-13T03:58:22.920Z,4.922,-82.565,10,5.5,mwb,302,61.6,,0.97,us,usp000fqek,2015-02-11T17:18:42.000Z,"south of Panama",earthquake
2007-10-13T17:45:53.180Z,-21.23,169.195,37,6.1,mwb,339,34.6,,1.12,us,usp000fqfm,2015-02-12T22:07:23.699Z,"southeast of the Loyalty Islands",earthquake
2007-10-15T12:29:34.860Z,-44.796,167.553,18,6.8,mwc,338,19,,1.2,us,usp000fqks,2015-02-12T23:01:54.634Z,"South Island of New Zealand",earthquake
